OTUNumber	OTUConTaxonomy	door_in_1	door_in_2	faucet_handle_1	faucet_handle_2	sink_floor_1	sink_floor_2	soap_dispenser_1	stall_in_1	toilet_floor_1	toilet_floor_2	toilet_flush_handle_1	toilet_flush_handle_2	toilet_seat_1	toilet_seat_2
Otu00075	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(99);unclassified(80);"	3	4	0	2	0	0	18	25	0	0	1	0	17	0
Otu00076	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"	5	3	0	12	0	0	0	21	0	1	0	14	10	3
Otu00077	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Novispirillum(100);"	0	0	0	0	0	0	0	0	0	0	0	0	69	0
Otu00078	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderia(100);"	5	0	0	0	0	0	0	0	0	0	0	0	61	0
Otu00079	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);unclassified(94);unclassified(94);unclassified(94);"	0	0	5	0	0	0	32	19	0	1	2	5	0	2
Otu00080	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(100);"	0	22	3	0	10	5	0	0	14	6	0	0	5	0
Otu00081	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Brevundimonas(100);"	7	0	6	23	3	6	0	0	7	1	2	8	0	0
Otu00082	"Bacteria(100);Bacteroidetes(97);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	21	1	4	0	0	8	27	1	0	0	0	1	0
Otu00083	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	0	0	0	0	5	4	0	0	15	4	35	0	0	0
Otu00084	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Mycobacteriaceae(99);Mycobacterium(99);"	5	0	0	0	0	0	0	0	0	0	0	55	2	0
Otu00085	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Peptoniphilus(100);"	0	11	0	16	0	0	8	10	0	1	0	9	0	7
Otu00086	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);"	0	0	0	0	1	0	12	21	0	2	0	0	25	0
Otu00087	"Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);"	0	0	0	2	12	19	0	0	8	12	2	3	2	0
Otu00088	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Delftia(100);"	0	3	0	0	0	0	13	34	8	0	0	0	0	0
Otu00089	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);"	7	5	4	1	0	0	12	26	0	0	0	0	0	2
Otu00090	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);"	0	0	0	0	0	0	0	0	56	0	0	0	0	1
Otu00091	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	1	22	1	0	6	0	0	14	0	6	0	6
Otu00092	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	15	13	0	0	11	13	2	0	1	0
Otu00093	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);unclassified(100);"	6	0	2	2	0	0	2	41	0	0	0	0	0	0
Otu00094	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"	0	2	0	0	8	8	0	0	18	3	0	0	14	0
Otu00095	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(99);Flavobacteriales(99);Flavobacteriaceae(99);unclassified(99);"	0	22	0	0	0	0	0	0	1	0	0	0	0	30
Otu00096	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);"	0	5	1	4	0	6	9	14	6	1	0	0	5	0
Otu00097	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Roseateles(99);"	6	0	0	1	0	0	4	37	0	0	1	0	0	2
Otu00098	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	3	0	0	0	0	0	0	0	0	0	0	10	0	37
Otu00099	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Planococcus(96);"	0	0	0	0	11	20	0	0	4	8	1	6	0	0
Otu00100	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Intrasporangiaceae(100);Tetrasphaera(92);"	0	0	0	0	2	1	0	0	4	5	33	0	0	4
Otu00101	"Bacteria(100);unclassified(88);unclassified(88);unclassified(88);unclassified(88);unclassified(88);"	5	0	0	3	1	0	13	19	0	2	0	0	5	1
Otu00102	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	3	5	1	1	2	1	0	0	3	3	0	0	1	29
Otu00103	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Intrasporangiaceae(100);Ornithinibacter(98);"	0	0	0	0	3	1	0	0	6	2	37	0	0	0
Otu00104	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioides(94);"	0	0	0	0	1	0	0	0	2	1	45	0	0	0
Otu00105	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Phyllobacteriaceae(96);unclassified(100);"	0	0	1	0	1	3	0	0	5	2	37	0	0	0
Otu00106	"Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Chitinophaga(100);"	0	0	0	0	0	0	0	0	0	0	0	0	49	0
Otu00107	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardiaceae(100);Rhodococcus(96);"	2	0	0	0	1	1	0	0	14	0	22	7	1	0
Otu00108	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(98);Corynebacterium(98);"	0	4	0	35	0	1	0	0	0	0	0	7	0	0
Otu00109	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);unclassified(98);"	0	0	0	0	1	2	0	0	8	0	0	36	0	0
Otu00110	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);"	2	2	5	2	0	0	12	19	2	0	0	0	3	0
Otu00111	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Microlunatus(100);"	0	0	1	0	4	7	0	0	5	7	19	3	0	0
Otu00112	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonas(100);"	0	0	1	0	0	0	0	43	0	0	0	0	0	2
Otu00113	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Paracoccus(100);"	5	12	5	0	4	4	0	0	8	2	5	0	0	0
Otu00114	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(80);"	0	10	0	0	2	3	10	0	0	3	0	1	3	13
Otu00115	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Friedmanniella(100);"	0	0	0	0	9	8	0	9	10	6	3	0	0	0
Otu00116	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);unclassified(100);"	0	11	0	0	0	0	0	33	0	0	0	0	0	0
Otu00117	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	2	0	32	1	0	0	0	0	2	0	6	0	0
Otu00118	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);"	1	0	0	0	0	0	14	28	0	0	0	0	0	0
Otu00119	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	5	0	5	5	1	0	0	0	1	1	1	3	4	17
Otu00120	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);"	6	0	3	9	1	0	9	8	2	0	0	2	3	0
Otu00121	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rubellimicrobium(100);"	0	12	0	0	6	1	0	0	11	11	0	0	0	1
Otu00122	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	7	0	0	0	9	9	0	0	13	2	1	0	1	0
Otu00123	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Propionibacterium(100);"	0	0	0	6	0	0	6	0	0	0	0	2	0	28
Otu00124	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Mycobacteriaceae(96);Mycobacterium(96);"	1	21	0	0	0	0	15	0	2	0	1	2	0	0
Otu00125	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(98);Microvirga(98);"	0	0	0	0	2	6	18	0	4	3	6	0	1	1
Otu00126	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Schlegelella(100);"	23	5	1	0	1	0	7	0	1	0	0	0	3	0
Otu00127	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	10	0	0	0	0	0	0	0	30	0	1
Otu00128	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Roseomonas(98);"	0	0	0	0	12	14	0	0	6	8	0	0	0	0
Otu00129	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Arthrobacter(100);"	1	0	0	0	5	8	0	0	14	5	3	0	0	4
Otu00130	"Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Hymenobacter(100);"	0	0	0	0	7	5	14	0	9	3	1	0	0	0
Otu00131	"Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Hymenobacter(100);"	0	0	0	0	6	5	0	0	5	8	0	14	0	0
Otu00132	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	0	0	0	0	1	0	0	22	0	0	0	0	14	1
Otu00133	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Hyphomicrobiaceae(100);Devosia(100);"	0	0	1	0	4	1	0	14	4	2	12	0	0	0
Otu00134	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	0	0	1	14	23	0	0	0	0	0	0
Otu00135	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	7	0	0	3	12	0	0	7	3	5	0	0	0
Otu00136	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);Agreia(100);"	0	0	0	0	0	4	6	0	5	6	12	3	1	0
Otu00137	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	3	6	1	0	2	1	6	6	4	0	3	3	2	0
Otu00138	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);unclassified(100);"	0	0	0	0	6	1	12	0	3	7	1	7	0	0
Otu00139	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Caulobacter(100);"	5	6	0	0	1	0	7	6	0	0	0	3	9	0
